cvegeo,avg_schooling_years,pct_homes_internet,pct_homes_car,pct_homes_computer,avg_occupants_per_home
2101100010025,6.53,29.46,20.33,9.75,3.63
210110001003A,7.13,0.00,,,5
2101200010037,8.06,17.87,27.95,14.41,3.9
2101200010041,7.47,14.25,27.78,11.35,3.95
2101200010056,7.68,16.03,28.85,12.50,3.71
2101300010049,7.23,37.91,25.82,21.83,4.72
2101300010053,7.03,36.43,28.52,20.45,4.91
2101300010072,6.74,31.44,32.11,17.65,4.89
2101300010087,6.74,34.49,20.73,16.42,4.7
2101300010091,6.39,30.84,17.76,14.02,4.52
2101400010031,6.75,11.91,9.47,8.70,3.6
2101500010113,9.83,44.29,32.49,29.56,3.66
2101500010128,8.21,27.08,29.21,14.71,4.1
2101500010132,11.11,55.08,44.25,44.52,3.57
2101500010147,9.2,49.42,39.77,32.43,3.98
2101500010151,9.48,48.59,30.07,28.52,3.88
2101500010166,10.27,58.98,46.68,42.01,4.1
2101500010185,11.5,67.65,56.06,49.87,3.58
210150001019A,9.92,82.80,25.81,30.11,4.06
2101500010217,8.96,35.27,31.74,22.72,3.89
2101500010221,8.74,42.68,45.12,20.73,4.19
2101500010236,9.95,38.13,34.11,23.08,3.62
2101500010240,8.86,33.86,33.66,25.00,4.03
2101500010255,6.58,17.15,23.43,7.95,5.16
210150001026A,9.35,43.58,31.77,24.97,4.05
2101500010274,7.87,22.97,27.68,11.81,4.63
2101500010289,9.77,47.68,32.42,34.67,4.35
2101500010293,9.09,36.74,32.30,22.61,4.31
2101500010306,9.97,51.19,35.78,33.20,4.42
2101500010310,8.36,32.60,27.86,19.64,4.45
210150001033A,10.55,63.82,43.57,43.20,3.77
210150001040A,8.16,30.53,25.34,16.56,3.84
2101500010414,6.8,15.89,18.05,6.29,4.37
2101500010429,7.02,11.53,25.59,11.17,4.23
2101500010433,9.5,38.36,32.88,20.55,3.92
2101500010452,10.29,55.02,41.03,44.98,3.57
2101500010467,10.61,58.48,44.55,42.05,3.92
2101500010471,9.71,62.87,36.01,28.74,3.16
2101500010486,7.13,18.68,31.87,13.19,3.82
2101500040503,6.97,9.30,20.66,6.43,4.53
2101500310344,11,72.08,51.99,44.87,3.47
2101500310359,10.45,76.46,40.26,41.23,3.8
2101500310382,9.77,57.32,39.91,36.71,3.81
2101500310397,9.83,63.43,36.57,30.69,4.02
2101500310490,9.96,46.27,44.78,40.30,3.96
2101500680077,10.11,46.23,28.07,27.59,3.67
2101500680170,8.27,25.29,36.02,14.56,4.36
2101600010036,10.41,52.34,54.69,38.28,3.59
2101600010040,7.14,8.33,33.33,4.17,3.65
2101600010055,8.36,53.85,53.85,46.15,3.77
210160001006A,8.8,49.15,38.98,18.64,3.22
2101600010074,8.51,39.02,29.27,19.51,3.78
2101700010048,11.27,45.86,43.84,48.08,3.59
2101700010052,9.97,28.38,33.78,27.93,3.75
2101700010067,9.7,29.72,35.53,29.72,3.82
2101700010071,8.43,17.17,28.25,14.40,4.11
2101700010090,7.69,,13.33,10.00,4.43
2101700040103,6.88,5.78,17.81,5.63,4.32
2101700080086,6.69,6.30,16.77,3.90,4.66
210180001005A,8.5,25.83,29.58,20.42,3.41
2101800010083,7.67,14.29,17.14,20.00,3.23
2101800010098,8.21,,,20.00,3
2101900010023,9.71,53.02,36.49,37.40,3.91
2101900010076,11.32,64.96,37.63,48.24,3.35
2101900010108,9.94,54.73,31.58,35.16,3.62
2101900010216,9.4,49.71,32.76,31.61,4.1
2101900010235,14.67,94.60,93.53,85.61,2.77
210190001024A,9.31,45.18,39.91,34.65,3.79
2101900010269,10.59,57.65,45.88,48.24,3.58
2101900010273,10.95,57.29,36.31,42.29,3.3
2101900010288,9.03,42.60,31.35,25.40,3.7
2101900010305,10.65,59.39,41.56,42.88,3.65
210190001031A,11.3,65.04,52.15,53.32,3.61
2101900010324,9.11,49.53,38.13,30.84,3.98
2101900010339,10.5,55.99,38.31,41.06,3.61
2101900010343,9.87,52.31,36.60,32.53,3.64
2101900010358,7.15,32.44,41.96,13.10,3.52
2101900010362,6.69,20.14,36.04,7.77,3.98
2101900010377,7.45,33.82,37.35,17.35,3.72
2101900010381,8.28,37.18,27.66,20.18,4.14
2101900010396,7.73,39.85,18.96,12.96,4.01
2101900010409,9.57,39.65,35.91,23.94,4.02
2101900010413,11.89,68.76,58.58,60.12,3.23
2101900010428,10.28,56.24,53.55,39.35,3.71
2101900010432,12.82,86.54,85.58,76.92,3.08
2101900010447,9.61,46.76,48.20,35.97,3.57
2101900010451,9.85,59.03,39.35,39.68,3.83
2101900010466,11.62,69.14,54.18,53.77,3.44
2101900010485,9.46,45.43,33.87,37.37,4.05
2101900010574,8.8,36.76,24.26,21.69,4.25
2101900010589,10.17,48.00,37.07,32.80,3.95
2101900010593,11.87,75.57,59.73,52.94,3.47
2101900010606,9.73,52.71,31.79,37.67,3.88
2101900010610,9.37,49.85,31.46,33.28,4
2101900010625,10.35,56.22,32.69,42.13,3.55
210190001063A,11.98,65.25,33.00,51.75,2.88
2101900010644,9.79,53.70,36.32,35.19,3.85
2101900010659,10.47,54.22,33.57,39.14,3.46
2101900010663,10.62,58.12,28.43,41.32,3.49
2101900010678,11.02,67.24,37.48,48.19,3.58
2101900010682,9.15,47.29,33.05,30.77,4.01
2101900010697,9.92,54.12,43.01,39.07,4
210190001070A,12.17,79.27,66.52,68.47,3.19
2101900010714,11.02,67.27,50.70,50.50,3.49
2101900010729,12.24,71.82,53.95,54.98,3.63
2101900010733,10.88,61.73,30.96,43.32,3.35
2101900010748,8.88,25.36,26.81,11.59,3.74
2101900010771,9.28,52.94,49.02,39.22,4
2101900010786,8.94,43.40,43.40,24.53,4.4
2101900010790,9.78,29.03,35.48,16.13,3.97
2101900010803,12.67,86.15,67.69,56.92,2.98
2101900010818,7.95,27.08,32.29,16.67,4.35
2101900010841,7.78,40.62,31.25,18.75,4.19
2101900010856,7.4,,62.50,,3.5
210190065017A,5.89,7.21,26.80,6.95,4.29
2101900650220,5.53,11.11,31.39,5.56,4.46
210190065049A,5.32,3.60,18.02,0.00,4.48
2101900650502,5.21,19.78,31.87,4.40,5.2
2101900650517,6.29,9.09,20.78,,4.62
2101900760521,7.23,19.10,28.64,6.53,3.66
2101900760536,7.86,27.40,31.51,10.96,4.47
2101900760540,6.91,26.32,33.33,21.05,4.11
2101900760822,7.11,22.80,32.40,11.60,4.02
2101900760837,7.39,20.31,25.29,9.96,3.86
2101900880860,9.83,37.43,37.43,28.30,3.43
2101900880875,12.58,51.52,55.20,50.08,3.04
210190088088A,12.11,48.64,55.33,51.72,3.07
2101902410038,11.35,64.84,51.32,49.91,3.28
2102000010039,8.07,21.45,30.29,12.87,4.48
2102000010043,8.12,23.48,34.78,15.94,3.91
2102000010058,7.82,22.43,29.58,13.87,4.27
2102000010062,7.03,10.96,23.29,4.11,3.86
2102000010077,8.71,42.86,71.43,42.86,4.43
2102100010021,8.22,40.22,33.70,16.58,3.72
2102200010052,7.72,27.71,25.70,12.85,3.8
2102200010103,7.02,,,,3.5
2102200030067,6.84,23.04,36.11,10.13,3.89
2102200030071,6.72,9.33,29.33,7.56,3.79
2102200030086,6.89,10.42,29.17,,4.88
2102200030090,7.26,,50.00,,4.33
2102200030118,6.41,0.00,37.50,0.00,4
2102200030122,7.63,17.02,40.43,14.89,3.51
2102200030137,8.33,,0.00,0.00,3.75
2102200040048,6.22,7.99,14.24,5.90,4.66
2102300010045,7.21,10.00,31.14,9.14,4.2
210230001005A,7.18,12.74,32.83,10.15,4.33
2102300010064,6.69,0.00,0.00,0.00,5
2102300010079,7.86,,33.33,,3.89
2102400010042,,,,,
2102400010057,6.47,9.43,35.85,15.09,3.36
2102400010061,5.92,2.96,35.56,7.41,3.09
2102400010076,,,,,
2102500010054,9.12,22.12,23.96,22.58,3.37
2102500010069,9.99,17.53,27.49,21.65,3.45
2102500010073,9.19,18.90,25.98,21.26,3.33
2102500010088,9.18,15.68,20.21,18.47,3.2
2102500010092,10.66,15.38,50.00,53.85,3.35
210260001009A,8.06,41.32,32.23,15.70,4.25
2102600010117,8.56,48.32,29.48,16.98,4.25
2102600010121,8.93,45.68,35.14,21.89,4.11
2102600010136,8.23,37.56,34.97,15.54,4.42
2102600010140,7.98,32.55,25.47,12.74,4.2
2102600010155,7.09,38.16,30.26,10.53,5.2
2102600020174,6.36,36.38,44.16,12.35,3.83
2102600020189,6.64,33.33,52.00,10.67,3.96
210260003016A,6.07,21.86,40.09,9.91,4.54
2102700010078,7.56,32.79,22.95,9.02,3.2
2102800010037,6.46,4.16,3.50,3.94,3.64
2102900010034,8.49,23.00,13.45,24.37,3.99
2102900010049,7.85,13.66,6.83,15.53,4.02
2102900010053,6.47,6.72,7.56,9.24,4.04
2102900010068,6.98,,,,3.79
2103000010035,6.8,32.34,10.45,9.45,3.4
2103100010066,5.55,,33.33,0.00,3.22
2103100010070,4.41,0.00,27.59,,4.45
2103100010085,5.5,9.48,32.76,6.90,3.36
210310001009A,5.52,11.82,27.27,7.27,3.42
2103100010117,6.34,9.42,29.71,3.62,3.41
2103100010121,5.05,0.00,,0.00,3.88
2103100010136,3.8,,0.00,0.00,4.75
2103100010140,7.04,18.81,44.55,10.89,3.45
2103100010155,5.17,13.24,44.12,4.41,3.62
210310001016A,,,,,
2103100010174,,,,,
2103200010044,7.33,6.55,20.24,10.12,3.18
2103300010037,7.85,5.18,32.27,6.97,3.94
2103400010053,8.92,39.83,34.84,21.32,4.52
2103400010068,9.33,40.12,32.90,21.21,4.55
2103400010072,9.71,43.84,44.59,24.92,4.72
2103400010123,8.41,27.47,32.27,14.40,4.57
2103400010138,9.42,38.27,41.91,25.97,4.72
2103400010142,9.24,30.87,39.60,18.79,4.67
2103400010176,9.09,35.45,32.80,19.05,4.28
2103400010180,6.86,20.00,16.00,16.00,5.4
2103400010195,9,33.68,32.30,19.59,4.68
2103400020087,8.15,36.37,34.79,19.16,4.6
2103400020091,8.29,30.90,34.25,16.29,4.59
2103400020157,8.26,31.82,33.64,12.73,4.8
2103400030119,10.7,55.39,59.67,46.30,3.69
2103400030161,8.92,46.34,51.22,29.27,4.76
2103400030208,8.81,31.71,26.83,24.39,4.95
2103400030212,8.85,38.60,44.14,18.40,4.66
2103400030227,8.82,34.24,46.25,20.60,4.91
2103400030231,13.96,91.89,78.38,67.57,3.05
2103500010101,10.08,36.17,23.40,24.47,3.74
2103500010116,9.73,45.25,26.62,35.74,3.9
210350001014A,9.38,36.39,29.11,26.58,3.98
2103500010154,10.18,42.51,33.33,35.75,3.87
2103500010169,7.81,22.00,28.00,22.00,3.84
2103500010173,8.6,25.93,22.22,17.28,4.22
2103500010205,8.83,,55.56,,2.44
210350001021A,7.25,19.01,13.22,10.74,3.96
2103500010224,7.55,16.24,18.80,15.81,4.05
2103500010239,9.53,,,,3
2103500010243,7.1,0.00,,0.00,2.67
2103500010258,5.91,0.00,,,4.67
2103500010277,,,,,
2103500010281,7.61,23.81,19.05,,3.95
2103500010296,9.42,,21.43,,3.5
2103500010309,7.93,9.52,21.43,11.90,3.74
2103500010313,8.36,,15.15,9.09,2.97
2103500010328,0.00,,,,0.00
2103500020084,10.08,40.00,27.71,25.54,3.73
2103500020099,9.91,38.32,25.34,27.63,3.84
2103500020188,11.72,46.67,40.00,53.33,3.93
2103500020192,11.17,55.56,50.00,44.44,3.89
2103500020262,7.74,,20.00,0.00,3.4
2103600010058,7.35,13.70,21.00,10.50,3.9
